movieId,title,genres,imdbId,tmdbId,original_title,overview,poster_path,backdrop_path
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,tt0114709,862,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,tt0113497,8844,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,/9PCsWrw1GvrZkrd1GCxRqscgZu0.jpg
3,Grumpier Old Men (1995),Comedy|Romance,tt0113228,15602,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,/hypTnLot2z8wpFS7qwsQHW1uV8u.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,tt0114885,31357,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",/qJU6rfil5xLVb5HpJsmmfeSK254.jpg,NA
5,Father of the Bride Part II (1995),Comedy,tt0113041,11862,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,/7qwE57OVZmMJChBpLEbJEmzUydk.jpg
6,Heat (1995),Action|Crime|Thriller,tt0113277,949,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,/2rX05YZJJVoO1cgEnuvFsyU56YS.jpg
7,Sabrina (1995),Comedy|Romance,tt0114319,11860,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,NA
8,Tom and Huck (1995),Adventure|Children,tt0112302,45325,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,NA
9,Sudden Death (1995),Action,tt0114576,9091,Sudden Death,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,NA
10,GoldenEye (1995),Action|Adventure|Thriller,tt0113189,710,GoldenEye,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon",/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,/rggeBvlUAww5ggjpjJ8fWbbdA0s.jpg
